,name,ingredients,ingredients_pre,url,serve
2030,초콜릿파운드케이크,"밀가루100 g,코코아파우더20 g,설탕100 g,계란2 개,버터100g,베이킹파우더1 t,시판 초콜릿100 g,토핑용 말린 과일 및 견과류적당량","['계란', '버터', '토핑용 말린 과일 및 견과류', '밀가루', '초콜릿', '코코아파우더', '베이킹파우더', '설탕']",https://www.haemukja.com/recipes/3692,2
2031,두부멸치조림,"두부300g,들기름2큰술,대파15cm,양파2/3개,건멸치 중간크기1컵,설탕1큰술,고춧가루2큰술,양조간장2큰술,다진 마늘1큰술,다진 생강⅛큰술,미림1큰술,후추약간","['두부', '대파', '생강', '들기름', '양조간장', '고춧가루', '마늘', '후추', '건멸치', '양파', '설탕', '미림']",https://www.haemukja.com/recipes/3687,4
2032,수플레오믈렛,"계란3 개,설탕1 큰술,딸기잼약간,버터1 티스푼","['계란', '딸기잼', '설탕', '버터']",https://www.haemukja.com/recipes/3690,1
2033,호두밥,"쌀2 공기 분량,호두쌀의 1/3,간장2 큰술,레드와인2 큰술,후리카게적당량","['간장', '후리카게', '레드와인', '쌀', '호두쌀의']",https://www.haemukja.com/recipes/3693,2
2034,골뱅이비빔국수,"통조림 골뱅이1캔,콩나물100g,메밀국수70g,깻잎5장,초고추장5 큰술,들깨가루1큰술","['초고추장', '들깨가루', '깻잎', '메밀국수', '통조림 골뱅이', '콩나물']",https://www.haemukja.com/recipes/3688,1
2035,두부오코노미야키,"두부100g,양배추1줌,양파½개,대파12cm,부침가루7큰술,달걀2개,새우살2/3컵,마요네즈3큰술,오코노미야키소스2큰술,가쓰오부시2줌","['마요네즈', '오코노미야키소스', '두부', '대파', '양배추', '새우살', '부침가루', '달걀', '양파', '가쓰오부시']",https://www.haemukja.com/recipes/3689,2
2036,일본식계란말이김밥,"김밥용 김3 장,밥2 공기,당근1 개,달걀5 개,단무지3 줄,마요네즈적당량,맛술4 큰술,설탕1 티스푼,소금,후추약간,참기름1 큰술","['마요네즈', '당근', '김밥용김', '맛술', '소금', '달걀', '후추', '참기름', '단무지', '설탕', '밥']",https://www.haemukja.com/recipes/3691,2
2037,하야시라이스,"하이라이스가루50g,양파30g,빨간파프리카20g,노란파프리카20g,브로콜리20g,검은콩20g,토마토소스2큰 술,소금1작은 술,물350ml","['토마토소스', '하이라이스가루', '검은콩', '파프리카', '소금', '브로콜리', '양파']",https://www.haemukja.com/recipes/3681,2
2038,오이양파무침,"오이1개,양파1/4개,다진마늘반큰술,고춧가루한작은술,식초3큰술,설탕1.5찻수저,소금약간","['오이', '소금', '고춧가루', '마늘', '양파', '식초', '설탕']",https://www.haemukja.com/recipes/3684,2
2039,일본스타일 두부샐러드,"연두부한팩,대파약 1/3개,쯔유3큰술,가쓰오부시한줌","['쯔유', '대파약', '가쓰오부시', '연두부한팩']",https://www.haemukja.com/recipes/3685,1
